split,graph_id,graph_type,n,m,density,avg_degree,num_communities,modularity,community_strength,seed,graph_path
train,train_014,er,132,478,0.055285681239879716,7.242424242424242,8,0.31582736646767395,none,1895257220,data\ml_attack_dataset\synthetic_graphs\train\train_014_er.gml
train,train_015,sbm,143,553,0.054466660100462916,7.734265734265734,8,0.3182427593694103,weak,1686748611,data\ml_attack_dataset\synthetic_graphs\train\train_015_sbm.gml
train,train_016,er,200,587,0.02949748743718593,5.87,10,0.3837823483830525,none,1788819140,data\ml_attack_dataset\synthetic_graphs\train\train_016_er.gml
train,train_017,sbm,179,414,0.025987069236080598,4.625698324022347,6,0.6414181194426941,strong,1770528850,data\ml_attack_dataset\synthetic_graphs\train\train_017_sbm.gml
train,train_018,sbm,114,457,0.07095171557211613,8.017543859649123,8,0.31740156763977806,mixed,485479857,data\ml_attack_dataset\synthetic_graphs\train\train_018_sbm.gml
train,train_019,ba,88,255,0.06661442006269593,5.795454545454546,7,0.34999615532487505,none,193724991,data\ml_attack_dataset\synthetic_graphs\train\train_019_ba.gml
train,train_020,sbm,276,1946,0.051277997364953885,14.101449275362318,10,0.22616952686566064,weak,1592411535,data\ml_attack_dataset\synthetic_graphs\train\train_020_sbm.gml
train,train_021,sbm,209,983,0.045224512329775486,9.4066985645933,8,0.2971321209286249,medium,1340437965,data\ml_attack_dataset\synthetic_graphs\train\train_021_sbm.gml
train,train_022,ba,94,184,0.04209563029055136,3.9148936170212765,7,0.44540111058601134,none,749321841,data\ml_attack_dataset\synthetic_graphs\train\train_022_ba.gml
train,train_023,ba,182,360,0.021856596442231802,3.956043956043956,11,0.4784336419753087,none,532420381,data\ml_attack_dataset\synthetic_graphs\train\train_023_ba.gml
train,train_024,sbm,60,122,0.06892655367231638,4.066666666666666,7,0.42790916420317116,weak,229590498,data\ml_attack_dataset\synthetic_graphs\train\train_024_sbm.gml
train,train_025,ws,176,880,0.05714285714285714,10.0,7,0.575728951446281,none,991693999,data\ml_attack_dataset\synthetic_graphs\train\train_025_ws.gml
train,train_026,sbm,132,373,0.043141337034466806,5.651515151515151,9,0.3835684868000201,mixed,1111945496,data\ml_attack_dataset\synthetic_graphs\train\train_026_sbm.gml
train,train_027,sbm,135,518,0.05726920950801548,7.674074074074074,8,0.3225540764150803,mixed,866923125,data\ml_attack_dataset\synthetic_graphs\train\train_027_sbm.gml
train,train_028,er,83,361,0.10608286805759624,8.698795180722891,7,0.2698337182802465,none,1881032247,data\ml_attack_dataset\synthetic_graphs\train\train_028_er.gml
train,train_029,sbm,126,286,0.03631746031746032,4.5396825396825395,5,0.7271810357474693,strong,50000807,data\ml_attack_dataset\synthetic_graphs\train\train_029_sbm.gml
train,train_030,ws,94,188,0.043010752688172046,4.0,9,0.7316093254866455,none,1687072102,data\ml_attack_dataset\synthetic_graphs\train\train_030_ws.gml
train,train_031,sbm,109,398,0.06761807679238872,7.302752293577981,8,0.3109201787833641,weak,1447023034,data\ml_attack_dataset\synthetic_graphs\train\train_031_sbm.gml
train,train_032,sbm,258,1481,0.04467167375501463,11.48062015503876,9,0.2965111534307394,medium,1538760762,data\ml_attack_dataset\synthetic_graphs\train\train_032_sbm.gml
train,train_033,ba,212,420,0.018778503085039793,3.9622641509433962,12,0.4838832199546485,none,1726373576,data\ml_attack_dataset\synthetic_graphs\train\train_033_ba.gml
train,train_034,ba,211,1030,0.04649063416835929,9.763033175355451,7,0.26529550381751343,none,788148621,data\ml_attack_dataset\synthetic_graphs\train\train_034_ba.gml
train,train_035,er,97,230,0.04939862542955326,4.742268041237113,7,0.4393856332703213,none,378213699,data\ml_attack_dataset\synthetic_graphs\train\train_035_er.gml
train,train_036,er,157,655,0.05348685284991017,8.343949044585987,10,0.30521764465940215,none,1511371368,data\ml_attack_dataset\synthetic_graphs\train\train_036_er.gml
train,train_037,sbm,209,1161,0.053413691571586305,11.110047846889952,5,0.33539465591826223,medium,1387510035,data\ml_attack_dataset\synthetic_graphs\train\train_037_sbm.gml
train,train_038,sbm,229,1936,0.07415919711943615,16.90829694323144,8,0.21041536822962914,weak,1503456874,data\ml_attack_dataset\synthetic_graphs\train\train_038_sbm.gml
train,train_039,ba,192,935,0.05099258289703316,9.739583333333334,8,0.28496039349137803,none,1042521289,data\ml_attack_dataset\synthetic_graphs\train\train_039_ba.gml
train,train_040,ws,102,510,0.09900990099009901,10.0,6,0.5346059207996924,none,1504652881,data\ml_attack_dataset\synthetic_graphs\train\train_040_ws.gml
train,train_041,sbm,150,585,0.052348993288590606,7.8,7,0.3035955876981518,weak,1322240118,data\ml_attack_dataset\synthetic_graphs\train\train_041_sbm.gml
train,train_042,ba,227,450,0.01754317570465089,3.9647577092511015,11,0.4844716049382716,none,1890314504,data\ml_attack_dataset\synthetic_graphs\train\train_042_ba.gml
train,train_043,sbm,103,176,0.03350466400152294,3.4174757281553396,8,0.5359310433884297,mixed,1864816667,data\ml_attack_dataset\synthetic_graphs\train\train_043_sbm.gml
train,train_044,sbm,122,415,0.056225443706814794,6.80327868852459,7,0.3390013064305415,weak,1403821385,data\ml_attack_dataset\synthetic_graphs\train\train_044_sbm.gml
train,train_045,ws,92,368,0.08791208791208792,8.0,7,0.5442572956049149,none,950744077,data\ml_attack_dataset\synthetic_graphs\train\train_045_ws.gml
train,train_046,sbm,84,216,0.06196213425129088,5.142857142857143,5,0.38251243141289437,mixed,765348614,data\ml_attack_dataset\synthetic_graphs\train\train_046_sbm.gml
train,train_047,sbm,199,877,0.044515506827064615,8.814070351758794,7,0.3340460442916598,mixed,1335616583,data\ml_attack_dataset\synthetic_graphs\train\train_047_sbm.gml
train,train_048,sbm,146,418,0.039489844119036374,5.726027397260274,7,0.4099894691055607,medium,1072852612,data\ml_attack_dataset\synthetic_graphs\train\train_048_sbm.gml
train,train_049,sbm,102,287,0.055717336439526303,5.627450980392157,10,0.391306195291918,mixed,462661014,data\ml_attack_dataset\synthetic_graphs\train\train_049_sbm.gml
train,train_050,sbm,126,544,0.06907936507936507,8.634920634920634,10,0.29598967344290655,mixed,1119789312,data\ml_attack_dataset\synthetic_graphs\train\train_050_sbm.gml
train,train_051,ws,91,364,0.08888888888888889,8.0,6,0.6445062492452602,none,1911157472,data\ml_attack_dataset\synthetic_graphs\train\train_051_ws.gml
train,train_052,ba,104,400,0.07468259895444361,7.6923076923076925,6,0.29414375,none,1137419560,data\ml_attack_dataset\synthetic_graphs\train\train_052_ba.gml
train,train_053,er,126,456,0.0579047619047619,7.238095238095238,9,0.31941799399815324,none,1230768667,data\ml_attack_dataset\synthetic_graphs\train\train_053_er.gml
train,train_054,er,216,725,0.031223083548664946,6.712962962962963,10,0.3586653983353151,none,966538621,data\ml_attack_dataset\synthetic_graphs\train\train_054_er.gml
train,train_055,ws,192,768,0.041884816753926704,8.0,9,0.5900709364149306,none,600123634,data\ml_attack_dataset\synthetic_graphs\train\train_055_ws.gml
train,train_056,ws,141,423,0.04285714285714286,6.0,9,0.677735302829614,none,1804067799,data\ml_attack_dataset\synthetic_graphs\train\train_056_ws.gml
train,train_057,er,147,671,0.06252912123753611,9.129251700680273,9,0.29338509820296244,none,1964263956,data\ml_attack_dataset\synthetic_graphs\train\train_057_er.gml
train,train_058,sbm,188,538,0.030606439868016838,5.723404255319149,6,0.5878909219054463,strong,354096552,data\ml_attack_dataset\synthetic_graphs\train\train_058_sbm.gml
train,train_059,sbm,138,582,0.06156775626785148,8.434782608695652,7,0.2973999480402924,weak,2028993118,data\ml_attack_dataset\synthetic_graphs\train\train_059_sbm.gml
train,train_060,sbm,138,296,0.031312810747910716,4.2898550724637685,6,0.6161317567567567,strong,210146268,data\ml_attack_dataset\synthetic_graphs\train\train_060_sbm.gml
train,train_061,ws,97,388,0.08333333333333333,8.0,7,0.611482357317462,none,609993856,data\ml_attack_dataset\synthetic_graphs\train\train_061_ws.gml
train,train_062,sbm,236,1320,0.04760187522538767,11.186440677966102,10,0.2690541781450872,mixed,361647943,data\ml_attack_dataset\synthetic_graphs\train\train_062_sbm.gml
train,train_063,ws,212,424,0.018957345971563982,4.0,15,0.7100586285154858,none,28503481,data\ml_attack_dataset\synthetic_graphs\train\train_063_ws.gml
train,train_064,sbm,179,629,0.0394827694432239,7.027932960893855,5,0.5725556754734722,strong,1814091379,data\ml_attack_dataset\synthetic_graphs\train\train_064_sbm.gml
train,train_065,sbm,118,506,0.07330146313197161,8.576271186440678,7,0.29380048118233376,mixed,1569271174,data\ml_attack_dataset\synthetic_graphs\train\train_065_sbm.gml
train,train_066,ba,81,158,0.04876543209876543,3.9012345679012346,7,0.4414757250440634,none,1403096685,data\ml_attack_dataset\synthetic_graphs\train\train_066_ba.gml
train,train_067,ba,175,684,0.04492610837438424,7.817142857142857,10,0.2949999572518039,none,257268783,data\ml_attack_dataset\synthetic_graphs\train\train_067_ba.gml
train,train_068,sbm,127,459,0.05736782902137233,7.228346456692913,8,0.32797214746465037,weak,2056621935,data\ml_attack_dataset\synthetic_graphs\train\train_068_sbm.gml
train,train_069,sbm,149,446,0.04044984581897334,5.9865771812080535,9,0.4030369603249612,medium,152321792,data\ml_attack_dataset\synthetic_graphs\train\train_069_sbm.gml
train,train_070,er,168,485,0.03457370972341032,5.773809523809524,8,0.4030077585290679,none,493056031,data\ml_attack_dataset\synthetic_graphs\train\train_070_er.gml
train,train_071,ba,178,352,0.022344950168221925,3.955056179775281,10,0.4831724560950414,none,572438228,data\ml_attack_dataset\synthetic_graphs\train\train_071_ba.gml
train,train_072,sbm,148,554,0.05092847949990807,7.486486486486487,9,0.32273651422539057,mixed,2025621098,data\ml_attack_dataset\synthetic_graphs\train\train_072_sbm.gml
train,train_073,sbm,107,267,0.04708164344912714,4.990654205607477,9,0.41218841616518676,medium,812673545,data\ml_attack_dataset\synthetic_graphs\train\train_073_sbm.gml
train,train_074,sbm,130,350,0.04174120453190221,5.384615384615385,5,0.4941428571428571,strong,1050762736,data\ml_attack_dataset\synthetic_graphs\train\train_074_sbm.gml
train,train_075,sbm,136,344,0.03747276688453159,5.0588235294117645,9,0.4159216130340725,mixed,1007142314,data\ml_attack_dataset\synthetic_graphs\train\train_075_sbm.gml
train,train_076,ba,208,615,0.028567447045707916,5.913461538461538,10,0.36981690792517685,none,1959428104,data\ml_attack_dataset\synthetic_graphs\train\train_076_ba.gml
train,train_077,sbm,91,239,0.058363858363858365,5.252747252747253,7,0.3960277306069572,medium,1477214904,data\ml_attack_dataset\synthetic_graphs\train\train_077_sbm.gml
train,train_078,sbm,150,479,0.04286353467561521,6.386666666666667,9,0.3531387153996017,medium,1398195174,data\ml_attack_dataset\synthetic_graphs\train\train_078_sbm.gml
train,train_079,sbm,142,522,0.05214264309259814,7.352112676056338,8,0.3379024089487823,weak,2088233632,data\ml_attack_dataset\synthetic_graphs\train\train_079_sbm.gml
train,train_080,ws,136,272,0.02962962962962963,4.0,10,0.6671239727508651,none,1147461107,data\ml_attack_dataset\synthetic_graphs\train\train_080_ws.gml
train,train_081,er,117,561,0.08267020335985853,9.58974358974359,7,0.2674273404062646,none,906284027,data\ml_attack_dataset\synthetic_graphs\train\train_081_er.gml
train,train_082,ws,105,525,0.09615384615384616,10.0,6,0.6280689342403628,none,1714937990,data\ml_attack_dataset\synthetic_graphs\train\train_082_ws.gml
train,train_083,sbm,175,707,0.0464367816091954,8.08,9,0.3199746323389664,weak,883716365,data\ml_attack_dataset\synthetic_graphs\train\train_083_sbm.gml
val,val_000,sbm,97,240,0.05154639175257732,4.948453608247423,7,0.4413107638888889,mixed,437792143,data\ml_attack_dataset\synthetic_graphs\val\val_000_sbm.gml
val,val_001,ws,81,162,0.05,4.0,7,0.7235368084133516,none,2075803089,data\ml_attack_dataset\synthetic_graphs\val\val_001_ws.gml
val,val_002,ba,90,344,0.08589263420724094,7.644444444444445,6,0.29564545024337485,none,1492496778,data\ml_attack_dataset\synthetic_graphs\val\val_002_ba.gml
val,val_003,sbm,130,390,0.046511627906976744,6.0,5,0.51974030243261,strong,759399813,data\ml_attack_dataset\synthetic_graphs\val\val_003_sbm.gml
val,val_004,ba,237,1160,0.04147893871129228,9.789029535864978,9,0.2674479785969085,none,1882746992,data\ml_attack_dataset\synthetic_graphs\val\val_004_ba.gml
val,val_005,sbm,50,77,0.06285714285714286,3.08,7,0.5629954461123292,medium,1080164684,data\ml_attack_dataset\synthetic_graphs\val\val_005_sbm.gml
val,val_006,er,200,946,0.047537688442211054,9.46,8,0.2920240558890443,none,1704150531,data\ml_attack_dataset\synthetic_graphs\val\val_006_er.gml
val,val_007,sbm,111,442,0.0723996723996724,7.963963963963964,7,0.3223316475911631,mixed,1570947154,data\ml_attack_dataset\synthetic_graphs\val\val_007_sbm.gml
val,val_008,sbm,178,785,0.049831778074017646,8.820224719101123,5,0.372703152257698,medium,1243855646,data\ml_attack_dataset\synthetic_graphs\val\val_008_sbm.gml
val,val_009,sbm,147,594,0.05535364830863852,8.081632653061224,6,0.31600942080740063,weak,1827462531,data\ml_attack_dataset\synthetic_graphs\val\val_009_sbm.gml
val,val_010,er,79,149,0.0483609217786433,3.7721518987341773,8,0.46304220530606727,none,277457582,data\ml_attack_dataset\synthetic_graphs\val\val_010_er.gml
val,val_011,sbm,179,912,0.057246877157742765,10.189944134078212,9,0.2789271698984303,weak,1669152126,data\ml_attack_dataset\synthetic_graphs\val\val_011_sbm.gml
val,val_012,er,213,792,0.03507839489768801,7.436619718309859,8,0.3339439215386185,none,358913990,data\ml_attack_dataset\synthetic_graphs\val\val_012_er.gml
val,val_013,sbm,257,1431,0.043500729571984434,11.136186770428015,8,0.2661763262411971,weak,1974738110,data\ml_attack_dataset\synthetic_graphs\val\val_013_sbm.gml
val,val_014,sbm,269,2452,0.06802419131110247,18.230483271375466,9,0.1991797986262837,weak,1014587359,data\ml_attack_dataset\synthetic_graphs\val\val_014_sbm.gml
val,val_015,ba,225,884,0.03507936507936508,7.857777777777778,8,0.3266466698061055,none,2009135180,data\ml_attack_dataset\synthetic_graphs\val\val_015_ba.gml
val,val_016,ws,194,582,0.031088082901554404,6.0,11,0.7436733151474356,none,2055617775,data\ml_attack_dataset\synthetic_graphs\val\val_016_ws.gml
val,val_017,ws,94,188,0.043010752688172046,4.0,7,0.7083239022181983,none,1410132150,data\ml_attack_dataset\synthetic_graphs\val\val_017_ws.gml
synthetic_test,synthetic_test_000,sbm,196,1077,0.056357927786499215,10.989795918367347,4,0.3449051622987269,mixed,1596197041,data\ml_attack_dataset\synthetic_graphs\synthetic_test\synthetic_test_000_sbm.gml
synthetic_test,synthetic_test_001,sbm,104,242,0.04518297236743839,4.653846153846154,8,0.4709207021378321,mixed,20392712,data\ml_attack_dataset\synthetic_graphs\synthetic_test\synthetic_test_001_sbm.gml
synthetic_test,synthetic_test_002,sbm,123,330,0.043982407037185124,5.365853658536586,8,0.4120661157024793,mixed,1802911012,data\ml_attack_dataset\synthetic_graphs\synthetic_test\synthetic_test_002_sbm.gml
synthetic_test,synthetic_test_003,er,165,501,0.03702882483370288,6.072727272727272,9,0.38632515408305146,none,275352732,data\ml_attack_dataset\synthetic_graphs\synthetic_test\synthetic_test_003_er.gml
synthetic_test,synthetic_test_004,sbm,269,1598,0.04433224213504966,11.881040892193308,9,0.26202379068955095,weak,1257526432,data\ml_attack_dataset\synthetic_graphs\synthetic_test\synthetic_test_004_sbm.gml
synthetic_test,synthetic_test_005,ba,204,603,0.029121993625036223,5.911764705882353,10,0.3592416579347596,none,180529145,data\ml_attack_dataset\synthetic_graphs\synthetic_test\synthetic_test_005_ba.gml
synthetic_test,synthetic_test_006,er,206,567,0.026852948141131896,5.504854368932039,10,0.39611619682166416,none,1695797326,data\ml_attack_dataset\synthetic_graphs\synthetic_test\synthetic_test_006_er.gml
synthetic_test,synthetic_test_007,sbm,76,200,0.07017543859649122,5.2631578947368425,6,0.3664375,weak,817449853,data\ml_attack_dataset\synthetic_graphs\synthetic_test\synthetic_test_007_sbm.gml
synthetic_test,synthetic_test_008,er,145,491,0.04703065134099617,6.772413793103448,10,0.3488308908624072,none,1574288547,data\ml_attack_dataset\synthetic_graphs\synthetic_test\synthetic_test_008_er.gml
synthetic_test,synthetic_test_009,sbm,212,815,0.03643923812930341,7.688679245283019,8,0.3333810079415861,mixed,1229998651,data\ml_attack_dataset\synthetic_graphs\synthetic_test\synthetic_test_009_sbm.gml
synthetic_test,synthetic_test_010,ba,85,324,0.0907563025210084,7.623529411764705,8,0.2896566834324036,none,413606545,data\ml_attack_dataset\synthetic_graphs\synthetic_test\synthetic_test_010_ba.gml
synthetic_test,synthetic_test_011,sbm,163,907,0.06869650836931,11.128834355828221,9,0.25649760712041225,weak,529212799,data\ml_attack_dataset\synthetic_graphs\synthetic_test\synthetic_test_011_sbm.gml
synthetic_test,synthetic_test_012,ba,194,573,0.030607339351530368,5.907216494845361,9,0.360574301995864,none,58110171,data\ml_attack_dataset\synthetic_graphs\synthetic_test\synthetic_test_012_ba.gml
synthetic_test,synthetic_test_013,ws,88,352,0.09195402298850575,8.0,6,0.5319561918904958,none,716917973,data\ml_attack_dataset\synthetic_graphs\synthetic_test\synthetic_test_013_ws.gml
synthetic_test,synthetic_test_014,ws,193,579,0.03125,6.0,10,0.6612720401144252,none,233205823,data\ml_attack_dataset\synthetic_graphs\synthetic_test\synthetic_test_014_ws.gml
synthetic_test,synthetic_test_015,ws,192,768,0.041884816753926704,8.0,9,0.6283866034613715,none,539631490,data\ml_attack_dataset\synthetic_graphs\synthetic_test\synthetic_test_015_ws.gml
synthetic_test,synthetic_test_016,sbm,174,616,0.040927513122051694,7.080459770114943,9,0.35848425113847193,mixed,595339606,data\ml_attack_dataset\synthetic_graphs\synthetic_test\synthetic_test_016_sbm.gml
synthetic_test,synthetic_test_017,sbm,198,743,0.03809670307132236,7.505050505050505,5,0.6154716338585887,strong,1891425349,data\ml_attack_dataset\synthetic_graphs\synthetic_test\synthetic_test_017_sbm.gml
real_external_test,karate,real,34,78,0.13903743315508021,4.588235294117647,4,0.4155982905982906,real,,
real_external_test,football,real,115,613,0.0935163996948894,10.660869565217391,10,0.6043460210927458,real,,
real_external_test,ca_netscience,real,379,914,0.012759838617358406,4.823218997361478,18,0.8456600223127715,real,,
real_external_test,bio_diseasome,real,516,1188,0.008941070219011063,4.604651162790698,24,0.8306150024373932,real,,
real_external_test,inf_USAir97,real,332,2126,0.0386925344884068,12.80722891566265,6,0.3635528939289486,real,,
