network,degree_k,ccdf,count_degree_ge_k,num_nodes,num_edges
ca_netscience,12,0.06068601583113457,23,379,914
ca_netscience,14,0.0395778364116095,15,379,914
ca_netscience,15,0.029023746701846966,11,379,914
ca_netscience,16,0.021108179419525065,8,379,914
ca_netscience,17,0.018469656992084433,7,379,914
ca_netscience,18,0.0158311345646438,6,379,914
ca_netscience,19,0.013192612137203167,5,379,914
ca_netscience,21,0.010554089709762533,4,379,914
ca_netscience,27,0.0079155672823219,3,379,914
ca_netscience,34,0.002638522427440633,1,379,914
bio_diseasome,1,1.0,516,516,1188
bio_diseasome,2,0.8255813953488372,426,516,1188
bio_diseasome,3,0.627906976744186,324,516,1188
bio_diseasome,4,0.501937984496124,259,516,1188
bio_diseasome,5,0.3682170542635659,190,516,1188
bio_diseasome,6,0.26356589147286824,136,516,1188
bio_diseasome,7,0.21124031007751937,109,516,1188
bio_diseasome,8,0.16472868217054262,85,516,1188
bio_diseasome,9,0.11434108527131782,59,516,1188
bio_diseasome,10,0.0755813953488372,39,516,1188
bio_diseasome,11,0.060077519379844964,31,516,1188
bio_diseasome,12,0.046511627906976744,24,516,1188
bio_diseasome,13,0.04263565891472868,22,516,1188
bio_diseasome,14,0.040697674418604654,21,516,1188
bio_diseasome,15,0.031007751937984496,16,516,1188
bio_diseasome,16,0.023255813953488372,12,516,1188
bio_diseasome,20,0.01744186046511628,9,516,1188
bio_diseasome,23,0.015503875968992248,8,516,1188
bio_diseasome,24,0.013565891472868217,7,516,1188
bio_diseasome,25,0.011627906976744186,6,516,1188
bio_diseasome,26,0.009689922480620155,5,516,1188
bio_diseasome,27,0.005813953488372093,3,516,1188
bio_diseasome,30,0.003875968992248062,2,516,1188
bio_diseasome,50,0.001937984496124031,1,516,1188
inf_USAir97,1,1.0,332,332,2126
inf_USAir97,2,0.8343373493975904,277,332,2126
inf_USAir97,3,0.7078313253012049,235,332,2126
inf_USAir97,4,0.5903614457831325,196,332,2126
inf_USAir97,5,0.5060240963855421,168,332,2126
inf_USAir97,6,0.463855421686747,154,332,2126
inf_USAir97,7,0.4186746987951807,139,332,2126
inf_USAir97,8,0.37349397590361444,124,332,2126
inf_USAir97,9,0.3373493975903614,112,332,2126
inf_USAir97,10,0.29819277108433734,99,332,2126
inf_USAir97,11,0.26506024096385544,88,332,2126
inf_USAir97,12,0.25903614457831325,86,332,2126
inf_USAir97,13,0.2560240963855422,85,332,2126
inf_USAir97,14,0.2469879518072289,82,332,2126
inf_USAir97,15,0.23493975903614459,78,332,2126
inf_USAir97,16,0.22289156626506024,74,332,2126
inf_USAir97,17,0.21686746987951808,72,332,2126
inf_USAir97,18,0.20180722891566266,67,332,2126
inf_USAir97,19,0.1897590361445783,63,332,2126
inf_USAir97,20,0.1746987951807229,58,332,2126
inf_USAir97,21,0.1686746987951807,56,332,2126
inf_USAir97,22,0.16566265060240964,55,332,2126
inf_USAir97,23,0.1566265060240964,52,332,2126
inf_USAir97,24,0.14759036144578314,49,332,2126
inf_USAir97,26,0.14457831325301204,48,332,2126
inf_USAir97,27,0.13855421686746988,46,332,2126
inf_USAir97,28,0.13253012048192772,44,332,2126
inf_USAir97,29,0.12951807228915663,43,332,2126
inf_USAir97,33,0.11746987951807229,39,332,2126
inf_USAir97,34,0.1144578313253012,38,332,2126
inf_USAir97,35,0.10843373493975904,36,332,2126
inf_USAir97,36,0.10542168674698796,35,332,2126
inf_USAir97,41,0.10240963855421686,34,332,2126
inf_USAir97,42,0.0963855421686747,32,332,2126
inf_USAir97,44,0.09036144578313253,30,332,2126
inf_USAir97,45,0.08734939759036145,29,332,2126
inf_USAir97,46,0.08433734939759036,28,332,2126
inf_USAir97,47,0.08132530120481928,27,332,2126
inf_USAir97,48,0.0783132530120482,26,332,2126
inf_USAir97,49,0.07530120481927711,25,332,2126
inf_USAir97,50,0.07228915662650602,24,332,2126
inf_USAir97,53,0.06325301204819277,21,332,2126
inf_USAir97,56,0.060240963855421686,20,332,2126
inf_USAir97,57,0.05421686746987952,18,332,2126
inf_USAir97,59,0.05120481927710843,17,332,2126
inf_USAir97,60,0.045180722891566265,15,332,2126
inf_USAir97,61,0.04216867469879518,14,332,2126
inf_USAir97,62,0.0391566265060241,13,332,2126
inf_USAir97,67,0.03313253012048193,11,332,2126
inf_USAir97,68,0.030120481927710843,10,332,2126
inf_USAir97,70,0.02710843373493976,9,332,2126
inf_USAir97,78,0.024096385542168676,8,332,2126
inf_USAir97,85,0.02108433734939759,7,332,2126
inf_USAir97,87,0.018072289156626505,6,332,2126
inf_USAir97,94,0.015060240963855422,5,332,2126
inf_USAir97,101,0.009036144578313253,3,332,2126
inf_USAir97,118,0.006024096385542169,2,332,2126
inf_USAir97,139,0.0030120481927710845,1,332,2126
